Name,Beschreibung,Anschrift,PLZ,Stadt,Ansprechpartner,Telefon,Telefax,Mail,Website
ALTERAktiv Siegen-Wittgenstein e.V.,Förderung der gesellschaftlichen Teilhabe älterer Menschen,St. Johann-Straße 7,57074,Siegen,Erich Kerkhoff,02712339425,,info@senioren-siegen.de, http//www.senioren-siegen.de
Arbeitsgemeinschaft Gosenbacher Vereine e.V.,Wir bieten Ihnen hier Informationen in Hülle und Fülle und dies zu allen möglichen Bereichen...,Siegener Straße 25,57080,Siegen,1. Vorsitzender:  Herr Günter Strunk,0271351149,,info@agv-gosenbach.de, http//www.agv-gosenbach.de
Heimatverein Achenbach,Heimatverein Achenbach,Im Langenseifen,57072,Siegen,Günther Langer,0271316947,0271316947,asglanger@aol.com,
9-Promille,jüngsten und dümsten Kegler,Im Wiesental 57,57078,Siegen,Dirk Nitschke,027183131,,info@9-p.de, http//www.9-p.de
ADFC Kreisverband Siegen-Wittgenstein,Verkehrsclub zur Förderung des Fahrradfahrens,Siegstraße 13,57250,Netphen,Hans-Gerhard Maiwald,027177109043,027172451,zentrale@adfc-siegen.de, http//www.adfc-siegen.de
Aquarienfreunde Siegerland e. V.,Siegens Aquarienverein - seit über 40 Jahren,Am Honigsmund 30,57080,Siegen,Ferdinand Wurm,0271353252,,ferdi-wurm@t-online.de, http//www.aquarienfreunde-siegerland.de
Deutsch-Mexikanische Gesellschaft e.V.,DMG - Verein zur Pflege Deutsch-Mexikanischer Beziehungen,Freudenberger Str. 454,57072,Siegen,Kurt Rausch,02713720119,02713720118,DMG-Siegen@T-Online.de, http//www.deutschmexikanisch.de
Deutscher Alpenverein Sektion Siegerland,Offizielle Sektion des Deutschen Alpenvereins...,Leimbachstraße 76,57074,Siegen,DAV Sektion Siegerland e. V.,0271336404,027133597013,sektion@dav-siegerland.de, http//www.dav-siegerland.de
Deutscher Amateur Radio Club Ortsverband Siegerland,Amateurfunk KW- UKW-Technik Völkerverständigung,Kapellenweg 15,57555,Mudersbach,Stefan Muhl (Ortsverband-Vorsitzender),02713878884,,dj8wk@darc.de, http//www.OV-O16.de
Fame-Fonds e.V.,,Goerdelerstr. 8,57072,Siegen,Krischan Schulte,02713180525,,naschirk@addcom.de,
Film- und Video-Club Siegerland,Videofilme besser machen ...,Zum Wolfsloch 27,57223,Kreuztal,Herr Hans-Peter Gebhardt,0273212460,0273212460,club@ fvc-siegerland.de, http//www.fvc-siegerland.de
Fotokreis Siegen e.V.,Der Fotokreis Siegen e.V. ist ein Zusammenschluss von Amateurfotografen...,Concordiastraße 16,57234,Wilnsdorf,Herr Hermann Schäl (1. Vorsitzender),027373719,,info@fotokreis-siegen.de, http//www.fotokreis-siegen.de
Harley Owner Siegerland e.V.,H.O.S.,Gutenbergstrasse 86,57078,Siegen,Hans Werner Strunk,,,kontakt@architekt-strunk.de, http//www.harley-owner-siegerland.de
IGS-Siegerland,Modellbauverein,Vorm Brand 26,57234,Wilnsdorf,Reiner Schmelzer,01719360578,,reiner.schmelzer@t-online.de, http//www.igs-Siegerland.de
Interessengemeinschaft Modellsegelflug e. V.,,Am Mühlenseifen 45,57072,Siegen,Ralf Rückes,027188047820,,skywing50@aol.com, http//ig-modellsegelflug.de
